wavelength_AA,ion,IP,,,,,,,,
5637.6,[Fe VI],75,,,,,,,,
5677,[Fe VI],75,,,,,,,,
5695.92,C III,24.38,,,,,,,,WR feature
5720.7,[Fe VII],99,,,,,,,,
5754.59,[N II],14.53,,,,,,,,
5801.33,C IV,47.89,,,,,,,,WR feature
5811.98,C IV,47.89,,,,,,,,WR feature
5875.624,He I,0,,,,,,,,
6046.44,O I,0,,,,,,,,
6087,[Fe VII],99,,,,,,,,
6300.304,[O I],,,,,,,,,
6312.06,[S III],23.33,,,,,,,,
6347.1,Si II,8.15,,,,,,,,
6363.776,[O I],0,,,,,,,,
6369.462,Fe II,7.87,,,,,,,,
6374.51,[Fe X],235.04,,,,,,,,
6516.081,Fe II,7.87,,,,,,,,
6548.05,[N II],14.53,,,,,,,,
6562.819,H_alpha,0,,,,,,,,
6583.46,[N II],14.53,,,,,,,,
6716.44,[S II],10.36,,,,,,,,
6730.81,[S II],10.36,,,,,,,,
7002.23,O I,0,,,,,,,,
7005.87,[Ar V],59.81,,,,,,,,
7065.196,He I,0,,,,,,,,
7135.79,[Ar III],27.63,,,,,,,,
7155.157,[Fe II],7.87,,,,,,,,
7170.62,[Ar IV],40.74,,,,,,,,
7172,[Fe II],7.87,,,,,,,,
7236.42,C II,11.26,,,,,,,,
7237.26,[Ar IV],40.74,,,,,,,,
7254.448,O I,0,,,,,,,,
7262.76,[Ar IV],40.74,,,,,,,,
7281.349,He I,0,,,,,,,,
7319.99,[O II],13.62,,,,,,,,
7330.73,[O II],13.62,,,,,,,,
7377.83,[Ni II],7.64,,,,,,,,
7411.16,[Ni II],7.64,,,,,,,,
7452.538,[Fe II],7.87,,,,,,,,
7468.31,N I,0,,,,,,,,
7611,[S XII],504.78,,,,,,,,
7751.06,[Ar III],27.63,,,,,,,,
7816.136,He I,,,,,,,,,
7868.194,Ar I,0,,,,,,,,
7889.9,[Ni III],18.17,,,,,,,,
7891.8,[Fe XI],262.1,,,,,,,,
8236.79,He II,54.42,,,,,,,,
8392.397,Pa20,0,,,,,,,,
8413.318,Pa19,0,,,,,,,,
8437.956,Pa18,0,,,,,,,,
8446.359,O I,0,,,,,,,,
8467.254,Pa17,0,,,,,,,,
8498.02,Ca II,6.11,,,,,,,,
8502.483,Pa16,0,,,,,,,,
8542.09,Ca II,6.11,,,,,,,,
8545.383,Pa15,0,,,,,,,,
8578.7,[Cl II],12.97,,,,,,,,
8598.392,Pa14,0,,,,,,,,
8616.95,[Fe II],7.87,,,,,,,,
8662.14,Ca II,6.11,,,,,,,,
8665.019,Pa13,0,,,,,,,,
8680.282,N I,0,,,,,,,,
8703.247,N I,0,,,,,,,,
8711.703,N I,0,,,,,,,,
8750.472,Pa12,0,,,,,,,,
8862.782,Pa11,0,,,,,,,,
8891.91,[Fe II],7.87,,,,,,,,
9014.909,Pa10,0,,,,,,,,
9068.6,[S III],23.33,,,,,,,,
9229.014,Pa9,0,,,,,,,,
9531.1,[S III],23.33,,,,,,,,
9545.969,Pa_epsilon,0,,,,,,,,
9824.13,[C I],0,,,,,,,,
9850.26,[C I],0,,,,,,,,
9913,[S VIII],280.93,,,,,,,,
10027.73,He I,0,,,,,,,,
10031.16,He I,0,,,,,,,,
10049.368,Pa_delta,0,,,,,,,,
10286.73,[S II],10.36,,,,,,,,
10320.49,[S II],10.36,,,,,,,,
10336.41,[S II],10.36,,,,,,,,
10746.8,[Fe XIII],330.8,,,,,,,,
10830.34,He I,0,,,,,,,,
10938.086,Pa_gamma,0,,,,,,,,
19634.1,[SiVI],205.05,,,,,,,,
24833.4,[SiVII],246.52,,,,,,,,
25846,[SiIX],351.1,,,,,,,,
29050,[AlV],153.83,,,,,,,,
29846,[CoII],17.08,,,,,,,,
30279.5,[MgVIII],265.96,,,,,,,,
31200,[NiI],7.64,,,,,,,,
31908,[KVII],117.56,,,,,,,,
32070,[CaIV],67.27,,,,,,,,
36600,[AlVI],190.48,,,,,,,,
36900,[AlVIII],284.6,,,,,,,,
39357,[SiIX],351.1,,,,,,,,
39524,[NiI],7.64,,,,,,,,
40764,[FeII],16.19,,,,,,,,
40820,[FeII],16.19,,,,,,,,
40870,[CaVII],127.2,,,,,,,,
41151,[FeII],16.19,,,,,,,,
41585,[CaV],84.5,,,,,,,,
44349,[FeII],16.19,,,,,,,,
44880,[MgIV],109.24,,,,,,,,
45280,[ArVI],91.01,,,,,,,,
46077,[FeII],16.19,,,,,,,,
46166,[KIII],45.8,,,,,,,,
46720,[FeII],16.19,,,,,,,,
46750,[NaVII],208.44,,,,,,,,
48892,[FeII],16.19,,,,,,,,
50624,[FeII],16.19,,,,,,,,
53403,[FeII],16.19,,,,,,,,
55000,[MgVII],224.95,,,,,,,,
55750,[KVI],99.4,,,,,,,,
56080,[MgV],141.27,,,,,,,,
56740,[FeII],16.19,,,,,,,,
58500,[AlVIII],284.6,,,,,,,,
58933,[NiI],7.64,,,,,,,,
59830,[KIV],60.91,,,,,,,,
61540,[CaVII],127.2,,,,,,,,
65150,[SiVII],246.52,,,,,,,,
66360,[NiII],18.17,,,,,,,,
67040,[ClV],67.82,,,,,,,,
67214,[FeII],16.19,,,,,,,,
69852.74,[ArII],27.63,,,,,,,,
73190,[NaIII],71.62,,,,,,,,
75067,[NiI],7.64,,,,,,,,
76420,[NeVI],157.93,,,,,,,,
78990,[ArV],75.02,,,,,,,,
86100,[NaVI],172.15,,,,,,,,
88230,[KVI],99.4,,,,,,,,
89910.3,[ArIII],40.74,,,,,,,,
90300,[MgVII],224.95,,,,,,,,
90480,[NaIV],98.91,,,,,,,,
91160,[AlVI],190.48,,,,,,,,
105105,[SIV],47.22,,,,,,,,
105210,[CoII],17.08,,,,,,,,
106822,[NiII],18.17,,,,,,,,
113075,[NiI],7.64,,,,,,,,
113333.47,[ClI],12.97,,,,,,,,
114820,[CaV],84.5,,,,,,,,
117410,[ClIV],53.46,,,,,,,,
118900,[CoIII],33.5,,,,,,,,
120010,[NiI],7.64,,,,,,,,
122550,[CoI],7.86,,,,,,,,
127288,[NiII],18.17,,,,,,,,
128135.5,[NeII],40.96,,,,,,,,
131000,[ArV],75.02,,,,,,,,
134320,[FV],114.24,,,,,,,,
135400,[MgV],141.27,,,,,,,,
143200,[NeV],126.21,,,,,,,,
143300,[NaVI],172.15,,,,,,,,
143678,[ClII],23.81,,,,,,,,
147400,[CoII],17.08,,,,,,,,
148142,[NiI],7.64,,,,,,,,
151550,[CoI],7.86,,,,,,,,
153900,[KIV],60.91,,,,,,,,
